amount,hour,tx_1h,is_international,is_night,Class
180.36,10,2,0,0,0
38.68,14,4,0,0,0
20.64,20,3,0,0,0
4.16,19,1,0,0,0
89.38,4,1,0,1,0
113.19,23,0,0,1,0
1.67,11,0,0,0,0
71.76,3,3,0,1,0
25.68,14,2,0,0,0
103.61,8,4,0,0,0
19.16,6,5,0,0,0
117.42,9,2,0,0,0
48.9,22,0,0,0,0
276.03,12,7,0,0,0
14.79,7,1,1,0,0
41.71,11,7,0,0,0
12.04,21,3,0,0,0
258.62,23,0,0,1,0
209.83,18,0,0,0,0
29.83,0,2,0,1,0
107.88,15,1,0,0,0
169.95,21,0,0,0,0
81.01,16,1,0,0,0
75.43,17,2,0,0,0
27.69,10,2,0,0,0
9.77,17,1,0,0,0
227.51,6,0,0,0,0
230.68,17,0,0,0,0
100.27,7,3,0,0,0
41.4,5,0,0,1,0
42.96,6,1,0,0,0
129.45,22,1,0,0,0
227.41,21,2,0,0,0
218.11,9,1,0,0,0
151.36,10,2,0,0,0
102.73,12,1,0,0,0
8.79,8,2,0,0,0
17.63,6,4,0,0,0
228.82,8,2,0,0,0
93.25,12,0,0,0,0
0.92,2,1,0,1,0
10.7,2,2,0,1,0
108.92,0,2,0,1,0
0.51,20,0,0,0,0
17.53,19,5,0,0,0
79.57,1,3,1,1,0
117.73,2,2,0,1,0
105.54,14,2,0,0,0
25.39,23,2,0,1,0
124.54,5,3,0,1,0
27.08,12,2,0,0,0
39.36,20,1,0,0,0
137.24,0,3,0,1,0
104.88,19,2,1,0,0
189.2,18,4,0,0,0
107.18,0,0,0,1,0
84.0,20,3,0,0,0
9.84,21,2,0,0,0
45.84,1,1,0,1,0
30.82,14,1,0,0,0
27.97,13,2,0,0,0
361.23,18,0,0,0,0
49.94,10,0,0,0,0
222.61,14,0,0,0,0
99.73,5,1,0,1,0
158.38,19,3,0,0,0
69.84,8,5,0,0,0
86.02,4,1,0,1,0
67.83,19,0,0,0,0
21.72,1,0,0,1,0
128.18,5,3,0,1,0
32.96,17,3,0,0,0
2.46,22,3,0,0,0
103.7,18,1,0,0,0
19.49,8,0,0,0,0
282.11,20,1,0,0,0
307.76,23,6,0,1,1
246.35,5,1,0,1,0
46.23,13,4,0,0,0
1.56,23,1,0,1,0
263.55,12,1,0,0,0
55.89,10,1,0,0,0
340.08,11,5,1,0,1
331.37,18,1,0,0,0
191.74,18,2,1,0,0
34.88,20,0,0,0,0
48.63,18,1,0,0,0
190.47,23,2,0,1,0
38.11,12,1,0,0,0
18.57,13,1,0,0,0
81.37,23,1,0,1,0
275.13,17,0,0,0,0
119.08,11,1,0,0,0
84.41,3,1,0,1,0
10.22,9,1,0,0,0
95.45,16,4,0,0,0
461.06,3,2,0,1,0
15.09,11,2,0,0,0
73.05,12,3,0,0,0
209.86,3,0,0,1,0
135.0,9,1,0,0,0
119.41,2,1,0,1,0
121.23,14,2,0,0,0
44.55,1,1,0,1,0
34.76,16,1,0,0,0
165.74,5,1,0,1,0
166.13,7,2,0,0,0
201.8,2,2,0,1,0
244.46,17,3,0,0,0
71.61,21,1,0,0,0
69.62,0,7,1,1,1
160.09,15,2,0,0,0
104.97,6,2,1,0,0
121.06,2,2,0,1,0
158.86,22,2,0,0,0
220.73,3,0,0,1,0
41.25,8,2,0,0,0
47.09,4,1,0,1,0
9.87,18,1,0,0,0
86.34,14,3,0,0,0
3.66,7,2,0,0,0
62.66,5,0,0,1,0
78.23,17,3,1,0,0
33.76,18,3,0,0,0
89.36,23,2,0,1,0
3.1,14,2,0,0,0
3.81,6,1,0,0,0
172.94,9,1,0,0,0
44.66,5,1,0,1,0
13.59,13,3,0,0,0
73.87,16,4,0,0,0
146.96,8,5,0,0,0
24.31,18,1,0,0,0
97.52,4,3,0,1,0
8.92,22,1,0,0,0
5.31,6,2,0,0,0
75.79,18,4,0,0,0
77.79,19,2,0,0,0
101.45,6,1,0,0,0
129.5,23,2,0,1,0
372.36,1,0,0,1,0
72.63,22,3,0,0,0
39.0,15,3,0,0,0
158.57,12,3,0,0,0
31.59,7,3,0,0,0
57.8,5,3,0,1,0
8.17,5,1,1,1,0
2.57,8,1,0,0,0
328.74,3,1,0,1,0
180.78,10,0,0,0,0
119.06,4,0,0,1,0
52.59,16,3,0,0,0
19.03,19,3,0,0,0
17.01,6,1,0,0,0
28.8,14,1,1,0,0
79.68,14,2,0,0,0
125.38,13,4,0,0,0
107.94,12,2,0,0,0
32.84,10,2,0,0,0
309.81,12,2,0,0,0
133.9,21,1,1,0,0
80.82,23,5,0,1,1
94.6,8,5,0,0,0
54.4,9,0,0,0,0
28.47,3,0,0,1,0
44.0,16,2,0,0,0
141.82,13,1,0,0,0
1.45,23,1,0,1,0
12.34,17,0,0,0,0
4.71,10,0,0,0,0
4.16,15,1,0,0,0
193.42,0,2,1,1,0
121.62,6,2,0,0,0
64.28,9,0,0,0,0
10.3,8,1,0,0,0
67.65,2,0,0,1,0
64.15,21,2,1,0,0
19.02,22,0,0,0,0
56.89,13,0,0,0,0
50.83,14,0,0,0,0
95.67,1,5,0,1,0
100.81,23,3,0,1,0
4.64,13,2,0,0,0
46.94,15,1,0,0,0
98.31,6,1,0,0,0
69.94,3,2,0,1,0
194.13,17,3,0,0,0
107.5,23,1,0,1,0
17.79,4,1,0,1,0
7.32,5,2,0,1,0
102.84,6,3,0,0,0
2.69,14,1,0,0,0
88.13,0,2,0,1,0
281.73,23,1,0,1,0
85.68,3,1,0,1,0
49.13,0,1,0,1,0
103.08,10,1,0,0,0
61.3,17,1,0,0,0
78.88,13,1,0,0,0
283.81,21,2,0,0,0
48.79,10,2,0,0,0
324.91,9,2,0,0,0
235.76,16,2,0,0,0
21.79,3,1,0,1,0
7.19,23,2,0,1,0
10.62,14,0,0,0,0
1.84,15,0,0,0,0
9.92,20,2,0,0,0
114.89,12,1,0,0,0
7.38,8,1,0,0,0
38.42,10,5,1,0,1
186.35,10,1,1,0,0
2.35,5,0,1,1,1
168.45,0,0,0,1,0
33.11,21,2,0,0,0
12.58,5,2,0,1,0
119.32,12,1,0,0,0
99.14,21,0,0,0,0
209.94,23,6,0,1,0
132.83,21,2,0,0,0
162.7,4,2,0,1,0
33.13,14,1,0,0,0
19.53,17,2,0,0,0
138.88,19,0,0,0,0
164.42,13,4,1,0,0
465.7,14,1,0,0,0
53.21,4,2,0,1,0
46.52,3,0,0,1,0
149.8,1,0,1,1,0
41.67,6,1,0,0,0
267.01,9,0,0,0,0
195.48,15,3,0,0,0
56.04,9,3,0,0,0
138.98,17,2,0,0,0
140.46,16,2,0,0,0
10.88,20,1,0,0,0
232.84,12,2,0,0,0
70.37,0,1,0,1,0
175.13,0,2,1,1,0
38.57,14,3,0,0,0
225.88,0,3,0,1,0
49.3,5,2,0,1,0
1.09,12,2,0,0,0
235.79,0,3,0,1,0
9.57,4,0,0,1,0
38.47,8,2,1,0,0
299.7,16,1,0,0,0
300.79,15,2,1,0,1
85.2,7,1,0,0,0
99.92,16,3,0,0,0
59.5,14,5,0,0,0
34.7,23,2,0,1,0
39.85,0,2,0,1,0
111.63,11,1,0,0,0
139.58,4,1,0,1,0
156.82,23,0,0,1,0
155.88,5,5,0,1,1
9.56,0,3,0,1,0
68.2,0,2,0,1,0
5.93,9,1,1,0,0
79.75,9,4,0,0,0
58.26,2,1,0,1,0
218.66,16,4,0,0,0
43.22,18,1,1,0,0
12.45,10,1,0,0,0
15.43,17,0,0,0,0
143.34,1,2,0,1,0
96.29,8,2,0,0,0
10.66,23,2,0,1,0
8.79,16,1,0,0,0
120.72,13,1,0,0,0
7.55,3,4,0,1,0
172.52,16,2,0,0,0
122.5,16,1,0,0,0
8.48,11,2,1,0,0
8.87,19,3,0,0,0
431.55,17,3,0,0,0
46.88,2,2,0,1,0
46.31,10,0,0,0,0
167.56,17,2,0,0,0
294.22,3,2,0,1,1
426.88,16,1,0,0,0
139.99,17,1,1,0,0
47.2,4,5,0,1,0
8.72,13,0,0,0,0
150.12,9,3,0,0,0
81.74,14,1,0,0,0
55.2,0,0,1,1,1
236.82,15,1,0,0,0
11.79,10,0,0,0,0
67.85,22,0,0,0,0
1.14,19,3,0,0,0
63.24,5,1,0,1,0
5.8,23,1,0,1,0
12.65,21,0,0,0,0
12.5,15,5,0,0,0
104.76,1,1,0,1,0
137.06,0,2,0,1,0
87.56,23,1,0,1,0
327.47,23,2,0,1,0
46.98,8,0,0,0,0
33.65,21,2,0,0,0
202.95,11,2,0,0,0
25.31,16,2,0,0,0
330.29,14,1,0,0,0
1.22,18,2,0,0,0
350.25,21,0,0,0,0
4.41,9,4,0,0,0
221.77,11,1,0,0,0
75.01,13,3,0,0,0
495.68,8,2,1,0,1
7.67,12,2,0,0,0
80.71,2,3,0,1,0
348.36,20,1,0,0,0
74.04,13,4,0,0,0
99.26,20,1,0,0,0
118.99,9,1,0,0,0
60.61,15,2,0,0,0
98.77,6,1,0,0,0
87.78,3,2,0,1,0
231.42,19,3,0,0,0
4.65,22,2,0,0,0
32.98,10,1,0,0,0
300.4,15,1,0,0,0
220.97,19,1,0,0,0
60.82,3,3,0,1,0
96.79,21,2,0,0,0
32.49,21,1,0,0,0
20.84,22,1,0,0,0
62.31,16,0,1,0,0
43.6,12,2,0,0,0
87.62,10,1,0,0,0
8.09,2,2,0,1,0
366.5,8,3,0,0,0
428.39,5,2,0,1,1
119.79,21,2,0,0,0
76.81,20,1,0,0,0
37.04,10,3,0,0,0
168.09,15,0,0,0,0
115.43,18,2,0,0,0
17.75,4,4,0,1,0
241.83,13,1,0,0,0
172.9,16,1,0,0,0
299.17,2,1,0,1,0
129.36,3,3,0,1,0
95.04,15,1,0,0,0
54.17,15,2,0,0,0
269.9,20,0,0,0,0
201.04,3,1,0,1,0
4.63,18,3,0,0,0
2.67,16,3,0,0,0
47.23,12,3,0,0,0
166.36,21,1,0,0,0
436.43,22,3,1,0,1
16.3,23,1,0,1,0
90.17,0,2,0,1,0
47.95,11,2,0,0,0
350.37,3,2,0,1,0
184.59,10,4,0,0,0
182.22,4,4,0,1,0
63.24,1,1,0,1,0
53.58,16,0,0,0,0
31.94,7,2,0,0,0
5.8,5,2,0,1,0
200.04,20,1,0,0,0
167.61,8,4,0,0,0
817.24,12,4,0,0,0
569.49,10,2,0,0,0
81.07,15,3,0,0,0
146.53,15,3,1,0,0
289.62,1,1,1,1,1
189.48,9,2,1,0,0
28.42,11,1,0,0,0
59.88,7,1,0,0,0
13.83,10,1,0,0,0
308.02,9,2,0,0,0
93.18,12,2,0,0,0
25.96,16,0,0,0,0
111.38,6,1,0,0,0
96.27,23,1,0,1,0
44.34,2,1,0,1,0
12.05,19,1,0,0,0
111.34,12,2,0,0,0
73.46,18,0,0,0,0
147.98,6,1,0,0,0
73.43,8,2,0,0,0
191.18,18,2,0,0,0
80.28,12,1,1,0,0
82.31,21,1,0,0,0
209.28,7,1,0,0,0
51.66,21,2,0,0,0
14.39,17,0,0,0,0
2.92,22,1,0,0,0
140.71,1,2,0,1,0
96.84,17,3,0,0,0
121.77,17,0,0,0,0
23.95,10,1,0,0,0
14.66,0,1,0,1,0
1.47,13,1,1,0,0
43.17,15,1,0,0,0
89.14,10,2,0,0,0
49.8,0,3,0,1,0
57.53,6,1,0,0,0
234.51,15,0,1,0,0
42.81,13,1,0,0,0
72.15,14,1,0,0,0
153.09,13,2,1,0,0
50.51,20,3,0,0,0
97.31,10,1,0,0,0
198.31,15,4,0,0,0
298.62,18,1,0,0,0
15.91,16,1,1,0,0
261.17,5,4,0,1,0
67.75,10,4,0,0,0
29.87,16,1,0,0,0
61.46,8,4,0,0,0
391.37,17,4,0,0,0
67.85,16,2,0,0,0
39.86,11,1,0,0,0
100.35,22,0,0,0,0
27.46,21,2,0,0,0
7.89,21,1,0,0,0
13.8,4,1,0,1,0
13.7,10,3,0,0,0
16.48,3,3,0,1,0
14.95,3,1,0,1,0
102.41,2,4,1,1,0
20.07,23,0,0,1,0
42.41,22,1,0,0,0
227.1,16,4,0,0,0
64.24,6,1,0,0,0
110.13,3,4,0,1,0
18.91,22,1,0,0,0
21.36,12,4,0,0,0
4.17,11,0,0,0,0
18.5,0,1,0,1,0
32.65,20,2,0,0,0
19.48,18,3,0,0,0
9.29,20,3,1,0,0
12.86,19,3,0,0,0
61.76,17,2,0,0,0
23.11,10,1,0,0,0
45.3,19,3,0,0,0
70.0,2,1,0,1,0
117.25,16,2,0,0,0
4.01,11,4,0,0,0
160.65,9,3,1,0,0
98.86,7,2,0,0,0
8.53,14,2,0,0,0
206.81,4,3,0,1,0
253.67,3,4,0,1,0
6.3,20,3,0,0,0
32.42,19,0,0,0,0
164.09,18,3,1,0,0
137.94,20,1,0,0,0
20.4,3,2,0,1,0
23.49,14,2,0,0,0
46.28,16,1,0,0,0
66.27,11,1,0,0,0
96.3,2,2,0,1,0
46.03,9,1,0,0,0
62.09,14,1,0,0,0
137.62,9,3,0,0,0
3.74,23,1,1,1,0
29.09,22,4,0,0,0
124.95,17,1,0,0,0
225.58,0,1,0,1,0
71.68,2,1,0,1,0
75.95,20,3,1,0,0
11.34,11,1,0,0,0
59.31,0,0,0,1,0
76.06,2,2,0,1,0
27.77,2,1,0,1,0
31.37,4,0,0,1,0
47.37,18,1,0,0,0
2.03,0,3,0,1,0
38.87,3,1,0,1,0
23.76,3,2,1,1,0
39.67,16,1,0,0,0
12.76,13,3,0,0,0
221.21,17,1,0,0,0
90.04,0,1,0,1,0
113.66,21,5,0,0,0
155.67,15,5,0,0,0
69.0,2,1,0,1,0
9.09,22,4,0,0,0
77.03,20,1,0,0,0
88.39,8,2,0,0,0
136.82,22,1,0,0,0
56.5,3,0,0,1,0
13.65,20,3,0,0,0
33.38,4,5,0,1,0
45.11,10,1,1,0,0
103.82,20,2,0,0,0
84.58,8,0,0,0,0
44.02,2,3,0,1,0
430.62,5,1,0,1,1
93.08,23,1,0,1,0
27.08,10,1,0,0,0
10.73,8,4,0,0,0
16.59,14,3,0,0,0
28.23,22,3,0,0,0
17.52,2,0,0,1,0
20.65,0,2,0,1,0
33.56,19,3,0,0,0
19.04,21,3,0,0,0
227.08,18,2,0,0,0
8.36,13,2,0,0,0
74.34,16,3,0,0,0
52.83,21,4,0,0,0
403.86,13,3,0,0,0
11.88,16,1,0,0,0
50.73,13,0,0,0,0
348.91,11,3,0,0,0
200.62,15,0,0,0,0
169.87,0,0,0,1,0
29.83,12,2,0,0,0
18.74,5,0,1,1,1
110.46,16,2,0,0,0
265.04,11,2,0,0,0
81.37,22,2,0,0,0
84.77,18,2,0,0,0
32.85,5,6,0,1,1
146.75,6,1,0,0,0
20.71,0,0,0,1,0
39.11,0,5,0,1,0
55.41,4,0,0,1,0
70.85,5,3,0,1,0
27.76,15,5,0,0,0
12.2,15,1,0,0,0
94.32,13,0,0,0,0
34.06,0,2,0,1,0
87.05,12,1,0,0,0
16.77,19,2,0,0,0
65.61,9,1,0,0,0
76.05,23,2,0,1,0
5.32,9,3,0,0,0
41.04,8,2,0,0,0
14.43,12,1,0,0,0
6.55,2,1,0,1,0
460.12,17,1,0,0,0
38.91,19,0,0,0,0
166.01,1,7,0,1,1
29.39,16,1,0,0,0
114.41,18,3,0,0,0
142.81,22,1,0,0,0
90.54,12,1,0,0,0
63.79,12,0,0,0,0
53.08,0,3,0,1,0
42.9,1,3,0,1,0
265.26,0,2,0,1,0
177.56,23,2,0,1,0
335.32,4,3,0,1,0
13.27,23,3,0,1,0
131.26,2,1,0,1,0
278.61,6,2,0,0,0
20.0,23,1,0,1,0
6.88,21,3,0,0,0
135.14,12,0,0,0,0
85.44,22,2,0,0,0
184.41,17,2,0,0,0
15.06,23,2,0,1,0
158.61,20,2,0,0,0
22.52,6,1,0,0,0
17.87,0,1,0,1,0
17.94,4,1,1,1,0
168.51,16,5,1,0,0
109.42,7,1,0,0,0
74.04,14,1,0,0,0
44.45,19,2,0,0,0
209.72,3,2,0,1,0
49.83,1,1,0,1,0
169.61,4,0,0,1,0
57.83,0,4,0,1,0
47.31,4,1,0,1,0
62.12,5,2,0,1,0
35.86,1,2,0,1,0
137.68,0,2,1,1,0
69.86,3,1,0,1,0
26.42,6,0,0,0,0
229.83,21,1,0,0,0
48.43,0,2,0,1,0
78.43,0,2,0,1,0
236.95,7,4,0,0,0
97.88,19,3,0,0,0
12.43,15,1,0,0,0
281.06,20,3,0,0,0
98.81,12,1,0,0,0
40.78,22,0,0,0,0
15.0,23,3,0,1,0
158.0,22,2,0,0,0
96.78,17,3,0,0,0
76.24,19,2,0,0,0
224.33,9,2,0,0,0
155.4,11,3,0,0,0
16.45,0,0,0,1,0
37.36,9,1,0,0,0
28.57,8,2,0,0,0
136.24,2,3,0,1,0
3.41,18,1,0,0,0
84.37,8,0,0,0,0
143.74,9,2,1,0,0
209.37,18,3,0,0,0
41.87,15,2,0,0,0
172.18,23,0,0,1,0
11.72,17,3,0,0,0
187.37,13,2,0,0,0
13.64,2,1,0,1,0
50.63,1,3,0,1,0
159.6,0,3,0,1,0
16.24,17,1,0,0,0
26.04,23,1,0,1,0
128.1,8,2,0,0,0
127.31,12,2,0,0,0
102.48,1,2,0,1,0
118.4,6,1,0,0,0
78.25,15,0,0,0,0
29.01,20,4,0,0,0
42.42,18,1,0,0,0
20.04,14,0,0,0,0
239.09,21,1,0,0,0
87.56,10,4,0,0,0
51.22,0,1,0,1,0
61.99,20,1,0,0,0
294.28,6,0,0,0,0
16.65,19,3,0,0,0
88.24,7,3,0,0,0
70.5,9,2,0,0,0
94.53,4,0,0,1,0
1.83,8,0,0,0,0
205.67,0,2,0,1,0
269.0,1,2,0,1,0
83.27,18,0,0,0,0
119.29,13,2,0,0,0
255.75,19,3,0,0,0
122.84,9,1,1,0,0
16.55,8,1,0,0,0
85.87,9,3,1,0,0
93.32,5,2,0,1,0
55.19,16,3,0,0,0
133.35,5,2,1,1,0
272.37,3,2,1,1,1
259.79,19,2,0,0,0
59.94,2,0,0,1,0
12.02,22,1,0,0,0
418.92,18,3,0,0,0
182.57,17,2,0,0,0
13.31,23,3,0,1,0
253.63,3,3,0,1,0
203.94,7,4,0,0,0
73.16,16,2,1,0,0
89.47,4,1,0,1,0
50.92,12,1,0,0,0
5.63,0,5,0,1,0
40.83,12,2,0,0,0
162.38,3,1,0,1,0
0.46,21,0,0,0,0
40.57,23,1,0,1,0
50.78,13,1,0,0,0
77.09,2,2,0,1,0
252.39,4,1,0,1,0
42.52,6,1,0,0,0
42.61,0,0,0,1,0
133.75,22,7,0,0,0
60.19,11,0,0,0,0
25.44,10,3,0,0,0
60.23,23,2,0,1,0
15.18,7,2,1,0,0
19.41,5,1,0,1,0
68.99,21,2,0,0,0
54.29,1,1,0,1,0
246.33,18,1,1,0,0
45.0,19,3,0,0,0
86.89,19,0,0,0,0
100.04,23,2,0,1,0
1.32,13,2,0,0,0
108.93,0,1,0,1,0
19.61,9,3,0,0,0
324.6,15,2,0,0,0
16.09,3,0,0,1,0
53.55,10,3,0,0,0
8.92,15,1,0,0,0
576.81,19,4,0,0,0
69.75,0,1,0,1,0
90.48,15,1,0,0,0
6.94,18,2,0,0,0
138.61,20,0,0,0,0
23.56,21,2,1,0,0
228.33,8,2,0,0,0
22.96,8,1,0,0,0
21.16,8,3,0,0,0
3.72,16,1,0,0,0
63.88,11,1,0,0,0
83.2,12,2,0,0,0
6.8,7,0,0,0,0
149.4,15,4,0,0,0
60.38,17,1,1,0,0
74.32,0,1,0,1,0
58.12,0,2,0,1,0
51.21,11,2,0,0,0
82.02,5,1,1,1,0
16.87,8,1,0,0,0
20.08,22,1,0,0,0
197.89,4,1,0,1,0
292.09,15,1,0,0,0
46.73,17,0,0,0,0
31.57,16,0,0,0,0
103.28,17,2,0,0,0
52.55,0,2,0,1,0
2.57,18,1,0,0,0
16.98,21,2,0,0,0
125.87,7,2,0,0,0
107.56,2,1,0,1,0
2.75,4,1,0,1,0
25.1,22,3,0,0,0
26.28,7,2,0,0,0
111.44,18,0,0,0,0
1.99,17,3,0,0,0
10.99,17,1,1,0,0
160.9,20,4,0,0,0
19.67,0,3,0,1,0
105.77,14,4,0,0,0
27.2,17,1,0,0,0
10.47,6,0,0,0,0
27.86,15,4,0,0,0
128.11,15,0,0,0,0
193.58,14,2,0,0,0
177.33,5,4,0,1,0
50.61,8,2,1,0,0
110.29,6,2,0,0,0
22.94,13,0,0,0,0
34.69,10,2,0,0,0
226.66,20,0,0,0,0
1.31,15,2,0,0,0
8.94,5,1,0,1,0
23.31,21,0,1,0,0
2.69,15,2,0,0,0
20.02,19,1,0,0,0
87.48,15,1,0,0,0
54.72,11,1,0,0,0
223.19,16,1,0,0,0
170.07,4,3,0,1,0
41.83,12,4,0,0,0
30.03,7,6,0,0,0
47.75,23,2,0,1,0
89.23,4,2,0,1,0
31.21,11,2,0,0,0
97.86,8,3,1,0,0
52.66,2,3,0,1,0
80.31,2,2,0,1,0
57.29,0,3,0,1,0
34.88,21,2,0,0,0
296.53,17,2,0,0,0
144.23,23,1,0,1,0
15.1,11,0,0,0,0
202.85,8,3,0,0,0
66.83,8,1,0,0,0
224.95,17,1,1,0,0
160.87,17,0,0,0,0
55.38,6,4,0,0,0
2.27,3,3,0,1,0
31.29,12,2,0,0,0
78.01,16,0,0,0,0
100.37,23,3,0,1,0
29.83,1,3,0,1,0
15.01,13,1,0,0,0
180.14,2,1,1,1,0
416.06,4,1,0,1,0
74.59,13,2,0,0,0
18.84,2,1,0,1,0
31.79,22,2,0,0,0
1.86,6,6,0,0,0
245.69,17,2,0,0,0
12.53,12,3,0,0,0
85.92,22,3,0,0,0
32.03,21,2,0,0,0
80.78,9,2,0,0,0
105.39,12,3,0,0,0
177.04,15,4,0,0,0
23.12,8,2,0,0,0
1.11,1,5,1,1,1
14.72,22,4,0,0,0
230.28,4,0,0,1,0
207.06,21,0,1,0,0
90.98,16,2,0,0,0
91.76,22,1,0,0,0
109.37,21,0,0,0,0
19.28,3,4,1,1,0
245.82,16,2,0,0,0
54.26,8,3,0,0,0
48.31,19,1,0,0,0
73.17,1,1,0,1,0
4.81,23,3,0,1,0
18.19,17,2,0,0,0
133.95,20,4,0,0,0
8.64,21,4,0,0,0
92.42,10,1,0,0,0
28.15,12,0,0,0,0
49.31,7,2,0,0,0
34.07,0,3,0,1,0
43.95,16,1,0,0,0
126.96,11,1,0,0,0
35.26,3,0,0,1,0
83.56,20,3,1,0,0
64.64,12,2,0,0,0
108.97,8,1,0,0,0
276.19,6,3,0,0,0
131.89,22,1,0,0,0
24.2,23,1,0,1,0
3.17,4,0,0,1,0
30.42,4,2,0,1,0
90.41,16,2,0,0,0
5.28,8,2,0,0,0
68.59,5,1,0,1,0
90.84,18,1,0,0,0
40.68,15,3,1,0,0
147.36,20,1,0,0,0
11.27,1,3,0,1,0
7.81,9,0,0,0,0
130.26,15,2,0,0,0
68.42,4,3,0,1,0
116.6,14,1,0,0,0
57.06,12,2,1,0,0
28.29,12,6,0,0,0
170.98,12,2,1,0,0
160.65,14,3,0,0,0
118.64,13,1,0,0,0
31.77,7,3,0,0,0
89.22,10,0,0,0,0
44.78,17,4,0,0,0
9.61,23,1,0,1,0
